user_id,hotel_name,rating,price,trip_type,companion,star,district,destination
,New Cape Inn,3,0.076031244,leisure,friend,3,Tiong Bahru, Singapore
,New Cape Inn,3,0.035158105,business,solo,3,Tiong Bahru, Singapore
,New Cape Inn,3,0.035158105,business,couple,3,Tiong Bahru, Singapore
,New Cape Inn,3,0.035158105,leisure,couple,3,Tiong Bahru, Singapore
,New Orchid Hotel,1,0.029000933,leisure,couple,2,Novena, Singapore
,New Orchid Hotel,1,0.063733277,business,friend,2,Novena, Singapore
,New Orchid Hotel,1,0.063733277,leisure,friend,2,Novena, Singapore
,New Society Backpackers Hostel,3,0.012134213,leisure,couple,1,Lavender, Singapore
,New Society Backpackers Hostel,3,0.012134213,business,couple,1,Lavender, Singapore
,Novotel Clarke Quay,4,0.091571553,business,family,4,Clarke Quay, Singapore
,Novotel Clarke Quay,4,0.087477688,leisure,couple,4,Clarke Quay, Singapore
,Novotel Clarke Quay,4,0.087477688,business,solo,4,Clarke Quay, Singapore
,Novotel Clarke Quay,4,0.087477688,business,couple,4,Clarke Quay, Singapore
,Novotel Clarke Quay,4,0.087477688,leisure,solo,4,Clarke Quay, Singapore
,Novotel Clarke Quay,4,0.091571553,leisure,family,4,Clarke Quay, Singapore
,"Oasia Hotel Novena, Singapore by Far East Hospitality",4.5,0.088296461,business,family,4,Novena, Singapore
,One Farrer Hotel & Spa,5,0.100561678,leisure,family,5,Farrer Park, Singapore
,One Farrer Hotel & Spa,5,0.100561678,business,family,5,Farrer Park, Singapore
,Orchard Parade Hotel by Far East Hospitality,4,0.088296461,business,family,4,Orchard, Singapore
,Orchard Parade Hotel by Far East Hospitality,4,0.069497437,leisure,solo,4,Orchard, Singapore
,Orchid Country Club,4,0.062947255,leisure,couple,4,Singapore,0
,Orchid Country Club,4,0.062947255,business,couple,4,Singapore,0
,PARKROYAL on Beach Road,4,0.070725596,business,solo,4,Singapore,0
,PARKROYAL on Beach Road,4,0.070725596,business,couple,4,Singapore,0
,PARKROYAL on Beach Road,4,0.070725596,leisure,solo,4,Singapore,0
,PARKROYAL on Beach Road,4,0.070725596,leisure,couple,4,Singapore,0
,PARKROYAL on Kitchener Road,4,0.141451193,business,friend,4,Lavender, Singapore
,PARKROYAL on Kitchener Road,4,0.056413448,leisure,solo,4,Lavender, Singapore
,PARKROYAL on Kitchener Road,4,0.13327984,business,family,4,Lavender, Singapore
,PARKROYAL on Kitchener Road,4,0.056413448,business,solo,4,Lavender, Singapore
,PARKROYAL on Kitchener Road,4,0.141451193,leisure,friend,4,Lavender, Singapore
,PARKROYAL on Kitchener Road,4,0.13327984,leisure,family,4,Lavender, Singapore
,Pan Pacific Orchard,4,0.114873827,business,family,5,Orchard, Singapore
,Pan Pacific Orchard,4,0.235479064,leisure,friend,5,Orchard, Singapore
,Parc Sovereign Hotel - Albert St,3,0.046080534,leisure,couple,4,Bencoolen, Singapore
,Parc Sovereign Hotel - Albert St,3,0.063356641,business,family,4,Bencoolen, Singapore
,Parc Sovereign Hotel - Albert St,3,0.046080534,business,couple,4,Bencoolen, Singapore
,Parc Sovereign Hotel - Tyrwhitt,4,0.046080534,leisure,solo,4,Lavender, Singapore
,Parc Sovereign Hotel - Tyrwhitt,4,0.063356641,business,family,4,Lavender, Singapore
,Parc Sovereign Hotel - Tyrwhitt,4,0.046080534,business,solo,4,Lavender, Singapore
,Park 22 Hotel Chinatown,3,0.106702474,business,family,3,Chinatown, Singapore
,Park 22 Hotel Chinatown,3,0.02403917,leisure,solo,3,Chinatown, Singapore
,Park 22 Hotel Chinatown,3,0.027952904,business,couple,3,Chinatown, Singapore
,Park 22 Hotel Chinatown,3,0.02403917,business,solo,3,Chinatown, Singapore
,Park 22 Hotel Chinatown,3,0.027952904,leisure,couple,3,Chinatown, Singapore
,Park 22 Hotel Little India,3,0.096484189,business,family,3,Farrer Park, Singapore
,Park 22 Hotel Little India,3,0.037712676,leisure,couple,3,Farrer Park, Singapore
,Park 22 Hotel Little India,3,0.037712676,business,couple,3,Farrer Park, Singapore
,Park 22 Hotel Little India,3,0.096484189,leisure,friend,3,Farrer Park, Singapore
,Park 22 Hotel Little India,3,0.096484189,business,friend,3,Farrer Park, Singapore
,Park 22 Hotel Little India,3,0.02728151,business,solo,3,Farrer Park, Singapore
,Park Avenue Changi,4,0.075212472,business,family,4,Singapore,0
,Park Avenue Changi,4,0.067122996,business,couple,4,Singapore,0
,Park Avenue Changi,4,0.075212472,leisure,family,4,Singapore,0
,Park Avenue Changi,4,0.067122996,leisure,solo,4,Singapore,0
,Park Avenue Changi,4,0.067122996,business,solo,4,Singapore,0
,Park Avenue Rochester,4,0.0834002,leisure,solo,4,Singapore,0
,Park Avenue Rochester,4,0.0834002,business,family,4,Singapore,0
,Park Avenue Rochester,4,0.0834002,business,solo,4,Singapore,0
,Park Hotel Alexandra,4.5,0.179065616,business,family,4,Singapore,0
,Park Hotel Alexandra,4.5,0.179065616,leisure,family,4,Singapore,0
,Park Hotel Clarke Quay,4,0.227307711,leisure,friend,4,Robertson Quay, Singapore
,Park Hotel Clarke Quay,4,0.227307711,business,friend,4,Robertson Quay, Singapore
,Park Hotel Clarke Quay,4,0.096811699,business,couple,4,Robertson Quay, Singapore
,Park Hotel Clarke Quay,4,0.096811699,leisure,solo,4,Robertson Quay, Singapore
,Park Hotel Clarke Quay,4,0.096811699,business,solo,4,Robertson Quay, Singapore
,Park View Hotel,3,0.034748719,leisure,solo,3,Singapore,0
,Park View Hotel,3,0.034748719,business,solo,3,Singapore,0
,Park View Hotel,3,0.096484189,leisure,friend,3,Singapore,0
,Park View Hotel,3,0.096484189,business,friend,3,Singapore,0
